Analyzing gantt_view_model.dart...                              

warning • The declaration '<unnamed>' isn't referenced • lib/view_models/gantt_view_model.dart:34:7 • unused_element
warning • The declaration '_updateTasksAndStacking' isn't referenced • lib/view_models/gantt_view_model.dart:1337:8 • unused_element
  error • A try block must be followed by an 'on', 'catch', or 'finally' clause • lib/view_models/gantt_view_model.dart:1585:5 • missing_catch_or_finally
warning • The value of the local variable 'taskData' isn't used • lib/view_models/gantt_view_model.dart:1588:13 • unused_local_variable
  error • Expected to find ';' • lib/view_models/gantt_view_model.dart:1661:7 • expected_token
warning • Dead code • lib/view_models/gantt_view_model.dart:1661:9 • dead_code
  error • Expected an identifier • lib/view_models/gantt_view_model.dart:1661:9 • missing_identifier
  error • Unexpected text ';' • lib/view_models/gantt_view_model.dart:1661:9 • unexpected_token
  error • Undefined name 'taskData' • lib/view_models/gantt_view_model.dart:1662:25 • undefined_identifier
  error • Undefined name 'taskData' • lib/view_models/gantt_view_model.dart:1781:24 • undefined_identifier
  error • Expected a class member • lib/view_models/gantt_view_model.dart:1919:7 • expected_class_member
  error • Expected an identifier • lib/view_models/gantt_view_model.dart:1919:13 • missing_identifier
  error • Undefined name 'op' • lib/view_models/gantt_view_model.dart:1920:50 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:1945:9 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:1950:13 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:1951:16 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:1955:11 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:1962:30 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:1964:32 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:1966:32 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:1967:15 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:1983:9 • undefined_identifier
  error • Undefined name '_isSyncConnected' • lib/view_models/gantt_view_model.dart:1983:32 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:1984:7 • undefined_identifier
  error • Undefined name '_allGanttTasks' • lib/view_models/gantt_view_model.dart:1999:19 • undefined_identifier
  error • Undefined name '_allGanttTasks' • lib/view_models/gantt_view_model.dart:2001:7 • undefined_identifier
  error • Undefined name '_allGanttTasks' • lib/view_models/gantt_view_model.dart:2001:31 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2006:11 • undefined_identifier
  error • Undefined name '_scheduleService' • lib/view_models/gantt_view_model.dart:2008:13 • undefined_identifier
  error • Undefined name '_allGanttTasks' • lib/view_models/gantt_view_model.dart:2008:58 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2008:74 • undefined_identifier
  error • Undefined name '_showConflicts' • lib/view_models/gantt_view_model.dart:2008:104 • undefined_identifier
  error • The function '_updateTasksAndStacking' isn't defined • lib/view_models/gantt_view_model.dart:2010:9 • undefined_function
  error • Undefined name '_createTasksEnabled' • lib/view_models/gantt_view_model.dart:2018:10 • undefined_identifier
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2022:26 • undefined_identifier
  error • Undefined name '_defaultStartTime' • lib/view_models/gantt_view_model.dart:2041:27 • undefined_identifier
  error • Undefined name '_defaultEndTime' • lib/view_models/gantt_view_model.dart:2042:25 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2102:7 • undefined_identifier
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2103:7 • undefined_identifier
  error • Undefined name '_cachedFlatGridData' • lib/view_models/gantt_view_model.dart:2104:7 • undefined_identifier
  error • The function 'notifyListeners' isn't defined • lib/view_models/gantt_view_model.dart:2105:7 • undefined_function
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2111:28 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2127:30 • undefined_identifier
  error • Undefined name '_cachedFlatGridData' • lib/view_models/gantt_view_model.dart:2130:7 • undefined_identifier
  error • The function 'notifyListeners' isn't defined • lib/view_models/gantt_view_model.dart:2131:7 • undefined_function
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2140:9 • undefined_identifier
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2142:39 • undefined_identifier
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2143:56 • undefined_identifier
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2155:32 • undefined_identifier
  error • Undefined name '_scheduleService' • lib/view_models/gantt_view_model.dart:2212:9 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2212:65 • undefined_identifier
  error • Undefined name '_showConflicts' • lib/view_models/gantt_view_model.dart:2212:95 • undefined_identifier
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2213:5 • undefined_identifier
  error • The function '_updateTasksAndStacking' isn't defined • lib/view_models/gantt_view_model.dart:2214:5 • undefined_function
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2219:9 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2220:7 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2235:9 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2236:7 • undefined_identifier
  error • Undefined name '_allGanttTasks' • lib/view_models/gantt_view_model.dart:2238:7 • undefined_identifier
  error • Undefined name 'effectiveTotalStartDate' • lib/view_models/gantt_view_model.dart:2247:9 • undefined_identifier
  error • Undefined name 'effectiveTotalEndDate' • lib/view_models/gantt_view_model.dart:2248:9 • undefined_identifier
  error • Undefined name '_visibleStartDate' • lib/view_models/gantt_view_model.dart:2249:9 • undefined_identifier
